01:58:48: INFO Loading face data 
01:58:48: INFO Face data loaded 
01:58:48: INFO Loading config 
01:58:48: INFO Config loaded 
01:58:48: INFO Sending config to arduino 
01:58:48: INFO Config sent 
01:58:48: INFO Received:  V1000 
01:58:55: INFO Received:  K0 
01:58:56: INFO Received:  K3 
01:58:56: INFO Received:  K0 
01:58:57: INFO Received:  K1 
01:58:57: INFO Received:  K0 
01:58:58: INFO Received:  K1 
01:58:59: INFO Received:  K1 
01:59:06: INFO Received:  KA 
01:59:07: INFO Received:  KC 
01:59:08: INFO Received:  KC 
01:59:09: INFO Received:  KC 
01:59:09: INFO Received:  KC 
01:59:09: INFO Received:  KC 
01:59:10: INFO Received:  KC 
01:59:10: INFO Received:  KC 
01:59:10: INFO Received:  KC 
01:59:11: INFO Received:  KA 
01:59:11: INFO Received:  KA 
01:59:12: INFO Received:  KA 
01:59:12: INFO Received:  KA 
01:59:12: INFO Received:  KA 
01:59:13: INFO Received:  KA 
01:59:13: INFO Received:  KA 
01:59:15: INFO Received:  KB 
01:59:18: INFO Received:  KC 
01:59:18: INFO Received:  KB 
01:59:28: INFO Received:  K8 
01:59:29: INFO Received:  K8 
02:00:02: INFO Received:  KC 
02:00:02: INFO Received:  KA 
02:00:03: INFO Received:  KD 
02:00:05: INFO Received:  KC 
02:00:05: INFO Received:  KC 
02:00:07: INFO Received:  KB 
02:00:09: INFO Received:  KC 
02:00:10: INFO Received:  KC 
02:00:11: INFO Received:  KB 
02:00:13: INFO Received:  KB 
02:00:20: INFO Received:  KD 
02:00:21: INFO Received:  KD 
02:00:22: INFO Received:  KA 
02:00:23: INFO Received:  KA 
02:00:24: INFO Received:  KA 
02:00:25: INFO Received:  KA 
02:00:26: INFO Received:  KC 
02:00:26: INFO Received:  KC 
02:00:26: INFO Received:  KC 
02:00:27: INFO Received:  KC 
