01:39:30: INFO Loading face data 
01:39:30: INFO Face data loaded 
01:39:30: INFO Loading config 
01:39:30: INFO Config loaded 
01:39:30: INFO Sending config to arduino 
01:39:30: INFO Config sent 
01:39:30: INFO Received:  V1000 
01:39:32: INFO Received:  K0 
01:39:39: INFO Received:  K3 
01:39:40: INFO Received:  K0 
01:39:40: INFO Received:  K1 
01:39:41: INFO Received:  K0 
01:39:41: INFO Received:  K1 
01:39:42: INFO Received:  K1 
01:39:49: INFO Received:  KC 
01:39:56: INFO Received:  KC 
01:39:57: INFO Received:  KC 
01:39:58: INFO Received:  KC 
01:39:58: INFO Received:  KC 
01:39:59: INFO Received:  KC 
01:39:59: INFO Received:  KC 
01:40:03: INFO Received:  KC 
