18:10:52: INFO Loading face data 
18:10:52: INFO Face data loaded 
18:10:52: INFO Loading config 
18:10:52: INFO Config loaded 
18:10:52: INFO Sending config to arduino 
18:10:52: INFO Config sent 
18:10:52: INFO Received:  V1000 
18:10:58: INFO Received:  K0 
18:10:58: INFO Received:  K3 
18:10:59: INFO Received:  K0 
18:10:59: INFO Received:  K1 
18:10:59: INFO Received:  K0 
18:11:00: INFO Received:  K1 
18:11:00: INFO Received:  K1 
18:11:02: INFO Received:  KC 
18:11:02: INFO Received:  KB 
18:11:03: INFO Received:  KB 
18:11:04: INFO Received:  KB 
18:11:05: INFO Received:  KB 
18:11:06: INFO Received:  KB 
18:11:06: INFO Received:  KB 
18:11:06: INFO Received:  KB 
18:11:06: INFO Received:  KB 
