19:16:03: INFO Loading face data 
19:16:03: INFO Face data loaded 
19:16:03: INFO Loading config 
19:16:03: INFO Config loaded 
19:16:03: INFO Sending config to arduino 
19:16:03: INFO Config sent 
19:16:03: INFO Received:  V1000 
19:16:05: INFO Received:  K0 
19:16:06: INFO Received:  K3 
19:16:06: INFO Received:  K0 
19:16:06: INFO Received:  K1 
19:16:06: INFO Received:  K0 
19:16:07: INFO Received:  K1 
19:16:07: INFO Received:  K1 
19:16:08: INFO Received:  KC 
19:16:09: INFO Received:  KC 
19:16:09: INFO Received:  KC 
19:16:10: INFO Received:  KB 
19:16:11: INFO Received:  KB 
19:16:25: INFO Received:  KD 
19:16:27: INFO Received:  K1 
19:16:29: INFO Received:  KB 
19:16:31: INFO Received:  KB 
19:16:36: INFO Received:  KC 
19:16:38: INFO Received:  KD 
19:16:39: INFO Received:  K1 
19:16:43: INFO Received:  KB 
19:16:44: INFO Received:  KC 
19:16:45: INFO Received:  KB 
19:16:46: INFO Received:  KC 
19:16:47: INFO Received:  KC 
19:16:48: INFO Received:  KB 
19:16:49: INFO Received:  KB 
19:16:51: INFO Received:  KB 
19:17:28: INFO Received:  KC 
19:17:29: INFO Received:  KB 
19:17:30: INFO Received:  KC 
19:17:32: INFO Received:  KB 
19:17:33: INFO Received:  KB 
19:17:38: INFO Received:  KB 
19:17:52: INFO Received:  KD 
19:17:53: INFO Received:  KB 
19:17:54: INFO Received:  KD 
19:17:59: INFO Received:  KB 
19:18:00: INFO Received:  KB 
