19:18:27: INFO Loading face data 
19:18:27: INFO Face data loaded 
19:18:27: INFO Loading config 
19:18:27: INFO Config loaded 
19:18:27: INFO Sending config to arduino 
19:18:27: INFO Config sent 
19:18:27: INFO Received:  V1000 
19:18:31: INFO Received:  K0 
19:18:31: INFO Received:  K3 
19:18:31: INFO Received:  K0 
19:18:31: INFO Received:  K1 
19:18:32: INFO Received:  K0 
19:18:32: INFO Received:  K1 
19:18:32: INFO Received:  K1 
19:18:33: INFO Received:  KC 
19:18:34: INFO Received:  KC 
19:18:34: INFO Received:  KC 
19:18:34: INFO Received:  KC 
19:18:35: INFO Received:  KC 
19:18:35: INFO Received:  KC 
19:18:37: INFO Received:  KC 
19:18:38: INFO Received:  KB 
19:18:39: INFO Received:  KB 
19:18:47: INFO Received:  KB 
19:18:48: INFO Received:  KC 
19:18:49: INFO Received:  KD 
19:18:51: INFO Received:  KD 
19:18:52: INFO Received:  KA 
19:18:53: INFO Received:  KB 
19:18:54: INFO Received:  KB 
19:18:58: INFO Received:  KB 
19:19:14: INFO Received:  V407 
19:19:16: INFO Received:  KC 
19:19:17: INFO Received:  KB 
19:19:31: INFO Received:  KC 
19:19:31: INFO Received:  KB 
19:19:32: INFO Received:  KB 
19:19:57: INFO Received:  KD 
19:20:02: INFO Received:  KD 
19:20:03: INFO Received:  KA 
19:20:04: INFO Received:  KB 
19:20:05: INFO Received:  KB 
19:20:11: INFO Received:  KD 
19:20:24: INFO Received:  V272 
19:20:54: INFO Received:  KD 
19:20:56: INFO Received:  KB 
19:21:00: INFO Received:  KB 
