18:14:05: INFO Loading face data 
18:14:05: INFO Face data loaded 
18:14:05: INFO Loading config 
18:14:05: INFO Config loaded 
18:14:05: INFO Sending config to arduino 
18:14:05: INFO Config sent 
18:14:05: INFO Received:  V1000 
18:14:07: INFO Received:  K0 
18:14:07: INFO Received:  K3 
18:14:07: INFO Received:  K0 
18:14:08: INFO Received:  K1 
18:14:08: INFO Received:  K0 
18:14:08: INFO Received:  K1 
18:14:09: INFO Received:  K1 
18:14:13: INFO Received:  KC 
18:14:14: INFO Received:  KC 
18:14:14: INFO Received:  KC 
18:14:16: INFO Received:  KA 
18:14:19: INFO Received:  KB 
18:14:20: INFO Received:  KC 
18:14:21: INFO Received:  KB 
18:14:24: INFO Received:  KD 
18:14:25: INFO Received:  KD 
18:14:27: INFO Received:  KA 
18:14:38: INFO Received:  KB 
18:14:40: INFO Received:  KC 
18:14:40: INFO Received:  KB 
18:14:42: INFO Received:  KB 
