01:41:47: INFO Loading face data 
01:41:47: INFO Face data loaded 
01:41:47: INFO Loading config 
01:41:47: INFO Config loaded 
01:41:47: INFO Sending config to arduino 
01:41:47: INFO Config sent 
01:41:47: INFO Received:  V1000 
01:41:50: INFO Received:  K0 
01:41:50: INFO Received:  K3 
01:41:51: INFO Received:  K0 
01:41:51: INFO Received:  K1 
01:41:51: INFO Received:  K0 
01:41:52: INFO Received:  K1 
01:41:52: INFO Received:  K1 
01:41:55: INFO Received:  KC 
01:41:55: INFO Received:  KC 
01:41:56: INFO Received:  KC 
01:41:57: INFO Received:  KD 
01:41:57: INFO Received:  KA 
01:41:58: INFO Received:  KA 
01:41:58: INFO Received:  KA 
01:41:59: INFO Received:  KC 
01:42:00: INFO Received:  KC 
01:42:01: INFO Received:  KC 
01:42:01: INFO Received:  KC 
01:42:02: INFO Received:  KD 
01:42:02: INFO Received:  KD 
01:42:02: INFO Received:  KC 
01:42:03: INFO Received:  KD 
01:42:03: INFO Received:  KC 
01:42:04: INFO Received:  KC 
01:42:04: INFO Received:  KD 
01:42:05: INFO Received:  KC 
01:42:06: INFO Received:  KB 
01:42:08: INFO No face detected 
