20:13:28: INFO Loading face data 
20:13:28: INFO Face data loaded 
20:13:28: INFO Loading config 
20:13:28: INFO Config loaded 
20:13:28: INFO Sending config to arduino 
20:13:28: INFO Config sent 
20:13:28: INFO Received:  V1000 
20:13:30: INFO Received:  K0 
20:13:30: INFO Received:  K3 
20:13:30: INFO Received:  K0 
20:13:31: INFO Received:  K1 
20:13:31: INFO Received:  K0 
20:13:32: INFO Received:  K1 
20:13:33: INFO Received:  K1 
20:13:36: INFO Received:  KC 
20:13:37: INFO Received:  KB 
20:13:38: INFO Received:  KB 
20:13:39: INFO Received:  K1 
20:13:40: INFO Received:  K2 
20:13:41: INFO Received:  K2 
20:13:57: INFO Received:  K1 
