02:12:39: INFO Loading face data 
02:12:39: INFO Face data loaded 
02:12:39: INFO Loading config 
02:12:39: INFO Config loaded 
02:12:39: INFO Sending config to arduino 
02:12:39: INFO Config sent 
02:12:39: INFO Received:  V1000 
02:12:46: INFO Received:  K0 
02:12:46: INFO Received:  K3 
02:12:46: INFO Received:  K0 
02:12:47: INFO Received:  K1 
02:12:47: INFO Received:  K0 
02:12:48: INFO Received:  K1 
02:12:48: INFO Received:  K1 
02:12:50: INFO Received:  KC 
02:12:50: INFO Received:  KC 
02:12:51: INFO Received:  KC 
02:12:51: INFO Received:  KC 
02:12:51: INFO Received:  KC 
02:12:52: INFO Received:  KC 
02:12:52: INFO Received:  KC 
02:12:52: INFO Received:  KC 
02:12:54: INFO Received:  KB 
02:12:59: INFO Received:  K5 
02:12:59: INFO Received:  K5 
02:12:59: INFO Received:  K5 
02:12:59: INFO Received:  K5 
02:13:02: INFO Received:  K1 
02:13:02: INFO Received:  K2 
02:13:03: INFO Received:  K3 
02:13:03: INFO Received:  K3 
02:13:05: INFO Received:  K3 
02:13:05: INFO Received:  K1 
02:13:07: INFO Received:  KD 
02:13:07: INFO Received:  KD 
02:13:07: INFO Received:  K1 
02:13:08: INFO Received:  K2 
02:13:09: INFO Received:  K3 
02:13:10: INFO Received:  K4 
