01:33:15: INFO Loading face data 
01:33:15: INFO Face data loaded 
01:33:15: INFO Loading config 
01:33:15: INFO Config loaded 
01:33:15: INFO Sending config to arduino 
01:33:15: INFO Config sent 
01:33:15: INFO Received:  V1000 
01:33:18: INFO Received:  K3 
01:33:18: INFO Received:  K0 
01:33:19: INFO Received:  K3 
01:33:20: INFO Received:  K2 
01:33:24: INFO Received:  K3 
01:33:25: INFO Received:  K0 
01:33:26: INFO Received:  K1 
01:33:26: INFO Received:  K0 
01:33:27: INFO Received:  K1 
01:33:27: INFO Received:  K1 
01:33:32: INFO Received:  KD 
01:33:32: INFO Received:  KD 
01:33:32: INFO Received:  KD 
01:33:33: INFO Received:  KD 
01:33:33: INFO Received:  KD 
01:33:33: INFO Received:  KD 
01:33:35: INFO Received:  K3 
01:33:35: INFO Received:  K0 
01:33:36: INFO Received:  K1 
01:33:36: INFO Received:  K0 
01:33:37: INFO Received:  K1 
01:33:38: INFO Received:  K1 
01:33:40: INFO Received:  KB 
01:33:42: INFO Received:  KB 
01:33:43: INFO Received:  KA 
01:33:43: INFO Received:  K1 
01:33:48: INFO Received:  K3 
01:33:48: INFO Received:  K0 
01:33:49: INFO Received:  K1 
01:33:49: INFO Received:  K0 
01:33:52: INFO Received:  K1 
01:33:52: INFO Received:  K1 
01:33:52: INFO Received:  K1 
01:33:56: INFO Received:  K3 
01:33:56: INFO Received:  K0 
01:33:57: INFO Received:  K1 
01:33:57: INFO Received:  K0 
01:33:57: INFO Received:  K6 
01:34:00: INFO Received:  K3 
01:34:01: INFO Received:  K0 
01:34:01: INFO Received:  K1 
01:34:02: INFO Received:  K0 
01:34:02: INFO Received:  K1 
01:34:03: INFO Received:  K1 
01:34:15: INFO Received:  KA 
01:34:16: INFO Received:  KC 
01:34:17: INFO Received:  KD 
01:34:17: INFO Received:  K0 
