02:11:24: INFO Loading face data 
02:11:24: INFO Face data loaded 
02:11:24: INFO Loading config 
02:11:24: INFO Config loaded 
02:11:24: INFO Sending config to arduino 
02:11:24: INFO Config sent 
02:11:24: INFO Received:  V1000 
02:11:26: INFO Received:  K0 
02:11:27: INFO Received:  K3 
02:11:27: INFO Received:  K0 
02:11:27: INFO Received:  KD 
02:11:27: INFO Received:  KD 
02:11:27: INFO Received:  K* 
02:11:27: INFO Received:  K* 
02:11:27: INFO Received:  KD 
02:11:27: INFO Received:  KD 
02:11:30: INFO Received:  K3 
02:11:30: INFO Received:  K0 
02:11:30: INFO Received:  K3 
02:11:31: INFO Received:  K1 
02:11:33: INFO Received:  K0 
02:11:35: INFO Received:  KD 
02:11:35: INFO Received:  K3 
02:11:36: INFO Received:  K0 
02:11:36: INFO Received:  K1 
02:11:37: INFO Received:  K0 
02:11:38: INFO Received:  KD 
02:11:39: INFO Received:  KD 
02:11:39: INFO Received:  KD 
02:11:39: INFO Received:  KD 
02:11:40: INFO Received:  K3 
02:11:42: INFO Received:  KD 
02:11:43: INFO Received:  K0 
02:11:43: INFO Received:  K3 
02:11:44: INFO Received:  K0 
02:11:45: INFO Received:  K1 
02:11:45: INFO Received:  K0 
02:11:45: INFO Received:  K1 
02:11:46: INFO Received:  K1 
02:11:48: INFO Received:  KD 
02:11:49: INFO Received:  KC 
02:11:50: INFO Received:  KC 
02:11:50: INFO Received:  KC 
02:11:50: INFO Received:  KC 
02:11:51: INFO Received:  KC 
02:11:51: INFO Received:  KD 
02:11:52: INFO Received:  KC 
02:11:52: INFO Received:  KC 
02:11:52: INFO Received:  KC 
02:11:53: INFO Received:  KC 
02:11:54: INFO Received:  KC 
02:11:54: INFO Received:  KC 
02:11:54: INFO Received:  KC 
02:11:54: INFO Received:  KC 
02:11:54: INFO Received:  KC 
02:11:55: INFO Received:  KC 
02:11:55: INFO Received:  KC 
02:11:56: INFO Received:  KC 
02:11:58: INFO Received:  KB 
