02:14:35: INFO Loading face data 
02:14:35: INFO Face data loaded 
02:14:35: INFO Loading config 
02:14:35: INFO Config loaded 
02:14:35: INFO Sending config to arduino 
02:14:35: INFO Config sent 
02:14:35: INFO Received:  V1000 
02:16:00: INFO Received:  K* 
02:16:00: INFO Received:  K3 
02:16:02: INFO Received:  KD 
02:16:03: INFO Received:  K0 
02:16:04: INFO Received:  K3 
02:16:04: INFO Received:  K0 
02:16:04: INFO Received:  K1 
02:16:05: INFO Received:  K0 
02:16:05: INFO Received:  K1 
02:16:06: INFO Received:  K1 
02:16:07: INFO Received:  KC 
02:16:08: INFO Received:  KC 
02:16:08: INFO Received:  KC 
02:16:09: INFO Received:  KC 
02:16:09: INFO Received:  KC 
02:16:09: INFO Received:  KC 
02:16:09: INFO Received:  KC 
02:16:10: INFO Received:  KC 
02:16:10: INFO Received:  KC 
02:16:11: INFO Received:  KC 
02:16:11: INFO Received:  KD 
02:16:11: INFO Received:  KC 
02:16:13: INFO Received:  KC 
02:16:13: INFO Received:  KC 
02:16:14: INFO Received:  KC 
02:16:14: INFO Received:  KC 
02:16:14: INFO Received:  KD 
02:16:15: INFO Received:  KC 
02:16:15: INFO Received:  KD 
02:16:15: INFO Received:  KC 
02:16:15: INFO Received:  K# 
02:16:15: INFO Received:  KC 
02:16:16: INFO Received:  KD 
02:16:16: INFO Received:  K* 
02:16:16: INFO Received:  KC 
02:16:16: INFO Received:  K0 
02:16:16: INFO Received:  K# 
02:16:17: INFO Received:  KD 
02:16:18: INFO Received:  KB 
02:16:18: INFO Received:  K* 
02:16:20: INFO Received:  KA 
02:16:20: INFO Received:  KD 
02:16:20: INFO Received:  K* 
02:16:20: INFO Received:  KD 
02:16:20: INFO Received:  K* 
02:16:21: INFO Received:  KD 
02:16:21: INFO Received:  K* 
02:16:21: INFO Received:  K# 
02:16:23: INFO Received:  KB 
02:16:23: INFO Received:  KA 
02:16:24: INFO Received:  K* 
02:16:25: INFO Received:  KC 
02:16:26: INFO Received:  KA 
02:16:26: INFO Received:  KA 
02:16:26: INFO Received:  KA 
02:16:27: INFO Received:  KC 
02:16:27: INFO Received:  KC 
02:16:28: INFO Received:  K# 
02:16:28: INFO Received:  K0 
02:16:29: INFO Received:  KB 
02:16:31: INFO Received:  KD 
02:16:33: INFO Received:  KB 
