01:57:43: INFO Loading face data 
01:57:43: INFO Face data loaded 
01:57:43: INFO Loading config 
01:57:43: INFO Config loaded 
01:57:43: INFO Sending config to arduino 
01:57:43: INFO Config sent 
01:57:43: INFO Received:  V1000 
01:57:47: INFO Received:  K0 
01:57:47: INFO Received:  K3 
01:57:47: INFO Received:  K0 
01:57:48: INFO Received:  K1 
01:57:48: INFO Received:  K0 
01:57:49: INFO Received:  K1 
01:57:49: INFO Received:  K1 
01:57:53: INFO Received:  KC 
01:57:55: INFO Received:  KB 
01:57:56: INFO Received:  K0 
01:57:57: INFO Received:  K0 
01:57:57: INFO Received:  K0 
01:57:59: INFO Received:  KC 
01:58:00: INFO Received:  KC 
01:58:00: INFO Received:  KC 
01:58:00: INFO Received:  KC 
01:58:02: INFO Received:  KC 
01:58:02: INFO Received:  KC 
01:58:03: INFO Received:  KA 
01:58:04: INFO Received:  KA 
01:58:04: INFO Received:  KA 
01:58:04: INFO Received:  KA 
01:58:04: INFO Received:  KC 
01:58:05: INFO Received:  KC 
01:58:05: INFO Received:  KC 
01:58:05: INFO Received:  KC 
01:58:06: INFO Received:  KC 
01:58:07: INFO Received:  KC 
01:58:07: INFO Received:  KC 
01:58:07: INFO Received:  KC 
01:58:10: INFO Received:  KB 
